VIVIENDAS ADJUDICADAS POR DISTRITOS DESDE 1/06/2015 A 30/04/2023;;;;;
DISTRITOS;TOTAL;REGLAMENTO ADJUDICACION;RESTO PROGRAMAS;;
ARGANZUELA;155;152;3;;
BARAJAS;380;326;54;;
CARABANCHEL;746;494;252;;
CENTRO;428;283;145;;
CHAMARTIN;3;3;;;
CHAMBERI;5;2;3;;
CIUDAD LINEAL;38;22;16;;
FUENCARRAL-EL PARDO;23;13;10;;
HORTALEZA;29;15;14;;
LATINA;221;108;113;;
MONCLOA;13;9;4;;
MORATALAZ;27;10;17;;
PUENTE DE VALLECAS;1252;1140;112;;
RETIRO;21;12;9;;
SALAMANCA;2;2;;;
SAN BLAS;13;5;8;;
TETUAN;236;157;79;;
USERA;367;187;180;;
VALLECAS VILLA;1252;1034;218;;
VICALVARO;139;122;17;;
VILLAVERDE;934;645;289;;
TOTAL;6284;4741;1543;;
